sampid,gender,birthy,w01ecoact,w01student,w01edu,w01region,y01e606,w02ecoact,w02student,w03ecoact,w03student,neet_w1,outcome,gender_label,age,edu_label,region_label,health_label
101411,2,1998,2,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,23,대졸,서울,보통
101416,2,2002,3,2,2,1,4,3.0,1.0,1.0,2.0,True,취업 성공,여성,19,고졸,서울,좋은 편
101419,2,2002,3,2,2,1,4,3.0,1.0,3.0,1.0,True,미취업,여성,19,고졸,서울,좋은 편
101470,2,1996,2,2,3,1,3,,,1.0,2.0,True,취업 성공,여성,25,전문대졸,서울,보통
101474,2,1995,2,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,26,대졸,서울,보통
101484,1,1997,3,2,4,1,3,3.0,2.0,,,True,미취업,남성,24,대졸,서울,보통
101497,1,1993,3,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,28,대졸,서울,좋은 편
101498,1,2000,3,2,2,1,5,3.0,1.0,1.0,1.0,True,취업 성공,남성,21,고졸,서울,매우 좋음
101501,2,1997,3,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,24,대졸,서울,보통
101509,1,1996,3,2,2,1,4,,,1.0,2.0,True,취업 성공,남성,25,고졸,서울,좋은 편
101523,1,2002,3,2,2,1,4,3.0,2.0,3.0,1.0,True,미취업,남성,19,고졸,서울,좋은 편
101538,1,2001,3,2,2,1,3,3.0,2.0,1.0,2.0,True,취업 성공,남성,20,고졸,서울,보통
101539,2,1997,3,2,4,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,24,대졸,서울,보통
101547,1,1999,3,2,2,1,4,,,,,True,미취업,남성,22,고졸,서울,좋은 편
101559,1,1996,3,2,4,1,4,,,1.0,2.0,True,취업 성공,남성,25,대졸,서울,좋은 편
101579,2,1998,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,23,고졸,서울,좋은 편
101582,2,1996,2,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,25,고졸,서울,좋은 편
101597,2,1996,3,2,4,1,4,2.0,2.0,3.0,2.0,True,미취업,여성,25,대졸,서울,좋은 편
101600,2,2000,3,2,2,1,4,,,,,True,미취업,여성,21,고졸,서울,좋은 편
101602,2,1996,3,2,3,1,4,1.0,2.0,,,True,취업 성공,여성,25,전문대졸,서울,좋은 편
101603,2,1996,3,2,3,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,25,전문대졸,서울,좋은 편
101620,1,1995,3,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,26,대졸,서울,좋은 편
101626,2,1997,3,2,4,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,24,대졸,서울,보통
101647,2,2002,3,2,2,1,4,3.0,1.0,1.0,1.0,True,취업 성공,여성,19,고졸,서울,좋은 편
101661,2,2002,3,2,2,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,19,고졸,서울,보통
101681,1,1995,3,2,2,1,4,,,,,True,미취업,남성,26,고졸,서울,좋은 편
101683,1,2002,3,2,2,1,4,3.0,2.0,,,True,미취업,남성,19,고졸,서울,좋은 편
101685,2,1996,3,2,4,1,3,3.0,2.0,1.0,2.0,True,취업 성공,여성,25,대졸,서울,보통
101693,2,1993,3,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,28,대졸,서울,보통
101695,2,1995,2,2,3,1,3,3.0,2.0,3.0,2.0,True,미취업,여성,26,전문대졸,서울,보통
101702,2,1998,2,2,4,1,3,1.0,2.0,1.0,2.0,True,취업 성공,여성,23,대졸,서울,보통
101708,1,1994,3,2,1,1,2,3.0,2.0,3.0,2.0,True,미취업,남성,27,고졸 미만,서울,나쁜 편
101710,1,2002,3,2,1,1,4,3.0,2.0,1.0,1.0,True,취업 성공,남성,19,고졸 미만,서울,좋은 편
101716,1,1998,2,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,23,대졸,서울,좋은 편
101719,1,1999,3,2,2,1,4,2.0,2.0,1.0,2.0,True,취업 성공,남성,22,고졸,서울,좋은 편
101721,1,2000,3,2,2,1,4,3.0,1.0,1.0,1.0,True,취업 성공,남성,21,고졸,서울,좋은 편
101727,2,2001,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,20,고졸,서울,좋은 편
101743,1,2002,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,19,고졸,서울,좋은 편
101744,1,1996,2,2,4,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,25,대졸,서울,좋은 편
101751,2,2000,3,2,2,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,21,고졸,서울,좋은 편
101752,1,1993,3,2,4,1,4,3.0,1.0,3.0,1.0,True,미취업,남성,28,대졸,서울,좋은 편
101755,1,1998,3,2,3,1,4,1.0,2.0,1.0,2.0,True,취업 성공,남성,23,전문대졸,서울,좋은 편
101758,1,1996,2,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,좋은 편
101776,2,2001,3,2,3,1,4,3.0,2.0,3.0,2.0,True,미취업,여성,20,전문대졸,서울,좋은 편
101778,1,1996,3,2,3,1,4,1.0,2.0,3.0,2.0,True,취업 성공,남성,25,전문대졸,서울,좋은 편
101784,1,1996,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,좋은 편
101785,1,1996,3,2,4,1,3,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,보통
101790,2,1998,3,2,4,1,3,3.0,2.0,1.0,2.0,True,취업 성공,여성,23,대졸,서울,보통
101792,1,1996,3,2,4,1,4,3.0,2.0,3.0,2.0,True,미취업,남성,25,대졸,서울,좋은 편
101797,1,1998,3,2,2,1,4,,,,,True,미취업,남성,23,고졸,서울,좋은 편
101812,2,1996,3,2,2,1,4,1.0,2.0,1.0,2.0,True,취업 성공,여성,25,고졸,서울,좋은 편
